sentence,label
"I have experienced schizophrenia first-hand: I have a brother suffering from the disease.I have also read Sylvia Nasar's brilliant biography of John Nash.Against that background, I have to say that the film ""A Beautiful Mind"" is a reprehensible example of filmmaking.It's a complete fabrication of the real story of John Nash.",Authenticity Bias
And it's also an irresponsible and grossly inaccurate picture of mental illness and its devastating effect on the family.This movie has taken a very sad story of a man with mental illness and turned it into an absurd fairy tale.That this film would be showered with awards is only more disgraceful.,Authenticity Bias
It shows how the elite in Hollywood are completely out of touch with reality.The true story of John Nash is not told in this film.,Omission Focus
Nor is it any way an accurate depiction of mental illness.It's nothing short of revisionist trash.,Authenticity Bias
Mental illness has never appeared so snuggly and warm.,Representation Critique
"Watch Russell emote, tics a' flyin!",Performance Appraisal
Watch lovely Jennifer Connelly start her descent into Calista Flockhearts diet zone!,Representation Critique
Listen to the heart tugging strings as the Ronnie Howard team schmaltzes up a good story and makes it all shiny and happy!,Selective Emphasis Bias
"The saccharine level was tough, but with enough salt from the popcorn counter I just about made it through.",Disposition Bias
"Never mind that the true story of this man is amazing, like Disney before him (and the glowy sitcoms that informed his 'early work') Mr. Howard takes a tough and beautiful story and grinds it down so that it's almost unrecognizable.",Omission Focus
Shameful how we eat it up.,Moral or Political Projection
I cannot believe the people that rave about this movie.,Disposition Bias
"""A Beautiful Mind"" is a terrible thing to waste your time on.",Disposition Bias
The movie's direction is manipulative and the screenplay is horrid.,Moral or Political Projection
I thought this was suppose to be based on the true life of John Nash.,Authenticity Bias
Didn't his wife divorce him in real life?,Authenticity Bias
Wasn't Nash a homosexual?,Representation Critique
Let's not use truths here let's just make up some stuff that an audience will like.,Moral or Political Projection
"Well, Hollywood, I might have liked the movie more if his wife had divorced him or if there was a homosexual tinge to the film.",Representation Critique
I needed to feel for the character and all this character was is a jerk.,Disposition Bias
The movie makes him come off as a womanizing jerk.,Representation Critique
How can I care about him.,Disposition Bias
"Well, because Hollywood says we should feel for him and the media says it is a great film.",Moral or Political Projection
That's why we like it.,Disposition Bias
"I know this day will never come, but, I sure wish it would, when will people learn to make there own decisions about movies, music and tv shows, etc.",Disposition Bias
instead of allowing themselves to be conned into liking something just because the media says it is good.,Moral or Political Projection
"And, don't get me started on the Academy Awards because all that is now is a popularity contest.",Moral or Political Projection
